station,PumpCycle,CO2_umol,closest_hour,month,diff_umol,ebul_umol,date,flux_unit
2,48,1016.4506032633728,2022-05-21T11:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,49,840.1892815785808,2022-05-21T12:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,50,1071.3238271244277,2022-05-21T13:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,51,806.4614783093473,2022-05-21T14:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,52,791.127029711067,2022-05-21T15:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,53,847.5280357627827,2022-05-21T16:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,54,921.5706702989556,2022-05-21T17:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,55,506.5153997635708,2022-05-21T19:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,56,723.5794943199453,2022-05-21T20:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,57,846.6157545726385,2022-05-21T21:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,58,804.2317961285737,2022-05-21T22:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,59,1645.16518490685,2022-05-21T23:00:00Z,5,NA,NA,2022-05-21,µmol m-2 h-1
2,60,2097.6451205082676,2022-05-22T00:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,61,906.1560659853552,2022-05-22T01:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,62,1155.6097276901448,2022-05-22T02:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,63,939.5302497152668,2022-05-22T03:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,64,1832.9012414300696,2022-05-22T04:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,65,972.87229540456,2022-05-22T05:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,66,1010.031879369201,2022-05-22T06:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,67,1136.7783816212227,2022-05-22T07:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,68,1354.6361539650286,2022-05-22T08:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,69,1362.9065388076583,2022-05-22T09:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,70,1498.5921279159463,2022-05-22T10:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,71,1063.8155533229583,2022-05-22T11:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,72,951.7409190064474,2022-05-22T12:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,73,636.3836398493567,2022-05-22T13:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,74,1053.565632216863,2022-05-22T14:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,75,530.3756744423071,2022-05-22T15:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,76,290.08876084773135,2022-05-22T16:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,77,709.3783667990456,2022-05-22T17:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,78,364.4575758940508,2022-05-22T18:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,79,581.5222850419361,2022-05-22T19:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,80,226.7826941701947,2022-05-22T20:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,81,788.1876171973304,2022-05-22T21:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,82,1791.4662831912397,2022-05-22T22:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,83,1056.1942759468643,2022-05-22T23:00:00Z,5,NA,NA,2022-05-22,µmol m-2 h-1
2,84,1341.9989256371323,2022-05-23T00:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,85,2129.4974549057993,2022-05-23T01:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,86,1861.3485520482557,2022-05-23T02:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,87,2632.793783918921,2022-05-23T03:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,88,1563.8231946709798,2022-05-23T04:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,89,1252.4849638823223,2022-05-23T05:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,90,1418.733696248219,2022-05-23T06:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,91,1341.492305914914,2022-05-23T07:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,92,1687.5824150186438,2022-05-23T08:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,93,1337.7015028342955,2022-05-23T09:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,94,1194.7292090846363,2022-05-23T10:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,95,1125.80756807811,2022-05-23T11:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,96,708.3465168990463,2022-05-23T12:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,97,1159.959052192408,2022-05-23T13:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,98,1482.650477404111,2022-05-23T14:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,99,1038.9125634405968,2022-05-23T15:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
2,100,1241.8686701701254,2022-05-23T16:00:00Z,5,NA,NA,2022-05-23,µmol m-2 h-1
